DateOfIssuance,PointofOrigin,CountryCodeOfIssue,CouponNumber] ,CurrentCouponStatus,BookingClass,SoldBookingClass,SoldOperatingCabinClass,TripOD,OnlineOD,Sector,DepartureDate,DaysBeforeMonthEnd,OperatingCarrierCode,OperatingFlightNumber,DepartureDateTime,ArrivalDateTime,OperatingCabinClass,TripOD_DepartureDate,TripOD_Path,TripOD_Coupons,TripOD_FlightSequence,TripOD_CouponStatus,TripOD_OperatingCabinClass,TripOD_BookingClass,OnlineOD_DepartureDate,OnlineOD_Path,OnlineOD_Coupons,OnlineOD_FlightSequence,OnlineOD_CouponStatus,OnlineOD_OperatingCabinClass,OnlineOD_BookingClass,is_nonstop,PaxCount,NetRevenue,NetFare,Group/Individual,Age,Gender,Unique Identifier,Channel
9/11/25,PH,PH,17150,Flown,X,X,Economy,MNLHND,MNLHND,MNLHND,11/23/25,10,PR,PR422,11/23/25 22:15:00,11/24/25 00:15:00,Economy/X,11/23/25 22:15:00,MNLHND,17150,PR422,Flown,Economy/X,X,11/23/25 22:15:00,MNLHND,17150,PR422,Flown,Economy/X,X,1,1,574$,493$,Individual,38,Male,1,Mobile App
3/21/27,KR,KR,17808,Ticketed,D,D,Business,ICNMNL,ICNMNL,ICNMNL,9/8/27,11,PR,PR467,9/8/27 05:30:00,09:00:00,Business/D,9/8/27 05:30:00,ICNMNL,17808,PR467,Ticketed,Business/D,D,9/8/27 05:30:00,ICNMNL,17808,PR467,Ticketed,Business/D,D,1,1,989$,941$,Individual,53,Male,2,Mobile App
3/16/27,PH,PH,17491,Ticketed,Y,Y,Economy,MNLYOW,MNLYZJ,MNLYZJ,4/29/27,4,PR,PR118,4/29/27 01:00:00,13:30:00,Economy/Y,4/29/27 01:00:00,MNLYZJYOW,17491,PR118-WS362,Ticketed,Economy/Y,Y,4/29/27 01:00:00,MNLYZJ,17491,PR118,Ticketed,Economy/Y,Y,1,1,1369$,1197$,Group,74,Male,3,Website
6/7/26,US,US,17939,Ticketed,Y,Y,Economy,SFOMNL,SFOMNL,SFOMNL,9/17/26,14,PR,PR105,9/17/26 01:30:00,16:15:00,Economy/Y,9/17/26 01:30:00,SFOMNL,17939,PR105,Ticketed,Economy/Y,Y,9/17/26 01:30:00,SFOMNL,17939,PR105,Ticketed,Economy/Y,Y,1,1,819$,777$,Individual,40,Male,4,Ticket Office
11/20/25,PH,PH,16891,Flown,J,J,Business,CEBBOS,CEBLAX,CEBMNL,1/3/26,16,2P,2P2812,1/3/26 20:15:00,1/4/26 09:15:00,Business/J,1/3/26 20:15:00,CEBMNLLAXBOS,16891,2P2812-PR102-B6888,Flown,Business/J,J,1/3/26 20:15:00,CEBMNLLAX,16891,2P2812-PR102,Flown,Business/J,J,0,1,4405$,3859$,Individual,19,Male,5,OTA
7/29/25,PH,PH,16757,Flown,U,U,Economy,MNLOGG,MNLHNL,MNLHNL,12/29/25,10,PR,PR100,12/29/25 22:30:00,12/30/25 06:30:00,Economy/U,12/29/25 22:30:00,MNLHNLOGG,16757,PR100-HA208,Flown,Economy/U,U,12/29/25 22:30:00,MNLHNL,16757,PR100,Flown,Economy/U,U,1,1,723$,661$,Individual,36,Male,6,Website
7/10/24,PH,PH,16564,Flown,T,T,Economy,MNLDXB,MNLDXB,MNLDXB,1/3/25,8,PR,PR658,1/3/25 22:45:00,1/4/25 05:45:00,Economy/T,1/3/25 22:45:00,MNLDXB,16564,PR658,Flown,Economy/T,T,1/3/25 22:45:00,MNLDXB,16564,PR658,Flown,Economy/T,T,1,1,679$,597$,Individual,25,Female,7,OTA
10/19/24,KR,KR,16724,Ticketed,E,E,Economy,ICNMNL,ICNMNL,ICNMNL,1/4/25,27,PR,PR467,1/4/25 18:45:00,23:30:00,Economy/E,1/4/25 18:45:00,ICNMNL,16724,PR467,Ticketed,Economy/E,E,1/4/25 18:45:00,ICNMNL,16724,PR467,Ticketed,Economy/E,E,1,1,319$,297$,Group,47,Male,8,Website
1/24/26,PH,PH,16612,Flown,U,U,Economy,MNLFUK,MNLHND,MNLHND,5/18/26,3,PR,PR422,5/18/26 04:00:00,07:15:00,Economy/U,5/18/26 04:00:00,MNLHNDFUK,16612,PR422-NH243,Flown,Economy/U,U,5/18/26 04:00:00,MNLHND,16612,PR422,Flown,Economy/U,U,1,1,263$,244$,Group,27,Male,9,OTA
5/31/25,PH,PH,16588,Flown,N,N,Premium Economy,MNLCTS,MNLHND,MNLHND,8/31/25,1,PR,PR422,8/31/25 22:30:00,9/1/25 03:00:00,Premium Economy/N,8/31/25 22:30:00,MNLHNDCTS,16588,PR422-NH51,Flown,Premium Economy/N,N,8/31/25 22:30:00,MNLHND,16588,PR422,Flown,Premium Economy/N,N,1,1,807$,737$,Individual,39,Male,10,Website
